[HEADER]
START_TIME: 237687177 usec
ELAPSED_TIME: 114568159 usec
RELAY_STATE: 0
ACCELERATION_DATA: PERIOD SAMPLE NUMBER INDEX
1600 HZ 183264 X,Y,Z
[END OF HEADER]

245,298,15980
290,-12,16109
284,168,15997
323,-62,16284
552,-29,16402
133,146,16312
145,191,16188
189,33,16312
446,-158,16797
211,84,16723
66,292,16470
223,-113,16616
317,-180,17044
128,118,17202
-62,168,16797
89,106,16887
-51,174,17129
-6,45,17258
-23,129,16954
66,78,16813
133,-141,17202
206,-51,17185
-17,219,16915
50,185,16661
195,-113,16622
256,-34,16864
78,157,16712
61,135,16549
223,-34,16560
435,-29,16853
200,168,16723
22,163,16329
245,129,16295
334,50,16594
407,-135,16774
22,298,16408
39,90,16363
278,-113,16560
278,-242,16797
-12,219,16352
117,33,16126
379,-141,16746
133,50,16560
-23,185,16312
200,-68,16335
351,-90,16532
368,191,16768
72,241,16599
357,-124,16954
368,-119,16616
139,45,16644
122,168,16470
223,-45,16492
340,-90,16746
323,-34,16915
122,146,16318
211,73,16391
446,-209,16966
223,123,16808
122,191,16504
111,-17,16695
435,-119,16988
156,61,16802
-134,174,16526
178,225,17022
317,-147,16915
83,174,17033
-90,388,16695
228,-34,16774
407,-197,17044
5,67,16875
-79,140,16695
16,50,16504
312,-107,17044
22,84,16735
-134,241,16543
83,45,16605
83,-74,16915
256,-209,17033
89,95,17236
161,-51,16982
100,140,16723
72,0,16656
211,-12,16988
223,-74,16892
-67,168,16808
-51,106,16740
206,-62,16994
